,preprocessing_without_emoticons,preprocessing_with_emoticons,class
4602,"['fuzzy', 'dice', 'might', 'nicest', 'thing', 'could', 'put', 'car', 'lol']","['fuzzy', 'dice', 'might', 'nicest', 'thing', 'could', 'put', 'car', 'lol', '🎲', '🎲']",2
4603,"['trash', 'smh', 'game', 'rigged', 'bumgarner', 'took', 'roids']","['trash', 'smh', 'game', 'rigged', 'bumgarner', 'took', 'roids']",2
4604,"['replied', 'hoe']","['replied', 'hoe']",1
4605,"['gotta', 'love', 'tanner', 'country', 'hoe', 'haha']","['gotta', 'love', 'tanner', 'country', 'hoe', 'haha', '!']",1
4606,"['thanks', 'bitch', 'proofread', 'tweet', 'vacation', 'week']","['thanks', 'bitch', 'proofread', 'tweet', 'vacation', 'week']",1
4607,['faggot'],['faggot'],0
4608,"['cracker', 'jack', 'work', 'cdc', 'ya', 'think', 'checking', 'plane', 'full', 'people']","['cracker', 'jack', 'work', 'cdc', 'ya', 'think', 'checking', 'THE', 'PLANE', 'FULL', 'OF', 'PEOPLE']",2
4609,"['ur', 'profile', 'one', 'armed', 'nigger']","['ur', 'profile', 'one', 'armed', 'nigger']",0
4610,"['poor', 'so', 'annoying', 'as', 'cunt', 'fan', 'care', 'know']","['poor', 'SOS', 'annoying', 'as', 'cunt', 'fan', 'care', 'know']",1
4611,"['gotta', 'start', 'treatin', 'ugly', 'hoe', 'like', 'dime', 'get', 'fine', 'as']","['gotta', 'start', 'treatin', 'ugly', 'hoe', 'like', 'dime', 'get', 'fine', 'as']",1
4612,"['see', 'bitch', 'fake', 'leg', 'bout', 'come', 'lmao', 'kinda', 'bad', 'doe', 'pole']","['see', 'bitch', 'fake', 'leg', 'bout', 'come', 'lmao', 'kinda', 'bad', 'doe', 'pole']",1
4613,"['pussy', 'smell', 'like', 'boiled', 'hot', 'dog', 'water', 'lizard', 'dick']","['pussy', 'smell', 'like', 'boiled', 'hot', 'dog', 'water', 'lizard', 'dick']",1
4614,"['lester', 'tried', 'eat', 'bird']","['lester', 'tried', 'eat', 'bird']",2
4615,"['tell', 'coon']","['tell', 'coon']",0
4616,"['even', 'blogger', 'moxy', 'credential', 'anything', 'create', 'brand']","['even', 'blogger', 'moxy', 'credential', 'anything', 'create', 'brand']",2
4617,"['nonexistent', 'hoe']","['nonexistent', 'hoe']",1
4618,"['happy', 'birthday', 'nicca', 'coon', 'shit', 'responsible', 'way']","['happy', 'birthday', 'nicca', 'coon', 'shit', 'responsible', 'way']",0
4619,"['lol', 'like', 'rgiii', 'go', 'like', 'weak', 'bitch', 'return', 'next', 'year', 'win', 'game']","['lol', 'like', 'RGIII', 'go', 'like', 'weak', 'bitch', 'return', 'next', 'year', 'win', 'game']",1
4620,"['noticed', 'guy', 'called', 'jiggaboo']","['noticed', 'guy', 'called', 'jiggaboo']",2
4621,"['nigga', 'get', 'dick', 'cheese', 'force', 'eat', 'bitch']","['nigga', 'get', 'dick', 'cheese', 'force', 'eat', 'bitch']",1
4622,"['know', 'man', 'uncle', 'tom', 'mentality', 'never', 'die', 'ol', 'martin', 'baker', 'headass']","['know', 'man', 'uncle', 'tom', 'mentality', 'never', 'die', 'ol', 'martin', 'baker', 'headass']",1
4623,"['always', 'amazed', 'resilience', 'keep', 'going', 'night', 'shift', 'really', 'better', 'ghetto']","['always', 'amazed', 'resilience', 'keep', 'going', 'night', 'shift', 'really', 'better', 'ghetto']",1
4624,"['tony', 'drinking', 'sloppily', 'saying', 'cunt', 'hear', 'bare', 'as']","['tony', 'drinking', 'sloppily', 'saying', 'cunt', 'hear', 'bare', 'as']",1
4625,"['hopefully', 'back', 'da', 'ghetto']","['hopefully', 'back', 'da', 'ghetto']",2
4626,"['lol', 'find', 'redneck', 'oakleaf', 'take']","['lol', 'find', 'redneck', 'oakleaf', 'take']",2
4627,"['tell', 'tweet', 'twat']","['tell', 'tweet', 'twat']",1
4628,"['maam', 'clear', 'tweet', 'careful', 'may', 'brand', 'race', 'traitor', 'nerve', 'thinking']","['maam', 'clear', 'tweet', 'careful', 'may', 'brand', 'race', 'traitor', 'nerve', 'thinking']",2
4629,"['opinion', 'plz', 'election', 'improvement', 'bo', 'still', 'allowed', 'trash', 'america']","['opinion', 'plz', 'election', 'improvement', 'BO', 'still', 'allowed', 'trash', 'america']",2
4630,"['timber', 'nigger']","['timber', 'nigger']",1
4631,"['world', 'spank', 'monkey', 'monkey', 'spank', 'u']","['world', 'spank', 'monkey', 'monkey', 'spank', 'u']",2
4632,"['got', 'hoe', 'different', 'area', 'code']","['got', 'hoe', 'different', 'area', 'code']",1
4633,"['roll', 'bitch', 'dey', 'like']","['roll', 'bitch', 'dey', 'like']",1
4634,"['tims', 'pussy']","['tims', 'pussy']",1
4635,"['hey', 'nig']","['hey', 'nig']",1
4636,"['get', 'bag', 'pink', 'n', 'white', 'coloured', 'van', 'sweet', 'please', 'thanks', 'dude']","['get', 'bag', 'pink', 'n', 'white', 'coloured', 'van', 'sweet', 'please', 'thanks', 'dude']",2
4637,"['thats', 'thought', 'pussy']","['thats', 'thought', 'pussy']",1
4638,"['whats', 'youtube', 'channel', 'faggot']","['whats', 'youtube', 'channel', 'faggot']",0
4639,"['fucking', 'relevant', 'get', 'follower', 'follow', 'train', 'unfollow', 'people', 'faggot']","['fucking', 'relevant', 'get', 'follower', 'follow', 'train', 'unfollow', 'people', 'faggot']",1
4640,['nigger'],['nigger'],1
4641,"['bitch', 'slap', 'asshole', 'chair']","['bitch', 'slap', 'asshole', 'chair', '!']",1
4642,"['saw', 'black', 'nra', 'skit', 'vile', 'funny', 'fan', 'anymore']","['saw', 'black', 'NRA', 'skit', 'vile', 'funny', 'fan', 'anymore']",1
4643,"['laugh', 'sad', 'okay', 'shit', 'hoe']","['😂', '😭', 'okay', 'shit', 'hoe']",1
4644,"['gots', 'take', 'da', 'colored', 'vacation', 'kentucky', 'fried', 'chicken', 'da', 'white', 'meat']","['gots', 'take', 'da', 'colored', 'vacation', 'kentucky', 'fried', 'chicken', 'da', 'white', 'meat']",2
4645,"['would', 'proud', 'faze', 'family', 'horrible', 'one', 'two', 'ugly', 'trailer', 'trash']","['would', 'proud', 'faze', 'family', 'horrible', 'one', 'two', 'ugly', 'trailer', 'trash']",0
4646,"['bitch', 'stupid', 'bey', 'hive', 'bee', 'hive', 'lil', 'kim', 'queen', 'b', 'bey', 'queen', 'b']","['bitch', 'stupid', '!', 'BEY', 'hive', 'BEE', 'hive', 'lil', 'kim', 'queen', 'b', 'bey', 'IS', 'queen', 'b']",1
4647,['bitch'],['bitch'],1
4648,"['real', 'shit', 'light', 'armor', 'bitch', 'find', 'tho']","['real', 'shit', 'light', 'armor', 'bitch', 'find', 'tho']",1
4649,"['bitch', 'ing', 'hella', 'cheese', 'tweet', 'right', 'said', 'lactose', 'intolerant', 'gotta', 'c']","['!', 'bitch', 'ing', 'hella', 'cheese', 'tweet', 'right', 'said', 'lactose', 'intolerant', '!', '!', 'gotta', '!', 'c']",1
4650,"['yes', 'said', 'spitted', 'bitch']","['yes', 'said', 'spitted', 'bitch']",1
4651,['bitch'],['bitch'],1
4652,"['hoe', 'cookie', 'crisp', 'cop', 'case']","['hoe', 'cookie', 'crisp', 'cop', 'case']",1
4653,"['gotta', 'phone', 'avi', 'texting', 'got', 'negative', 'bitch']","['gotta', 'phone', 'avi', 'texting', 'got', 'negative', 'bitch']",1
4654,"['dont', 'mom', 'bitch', 'as', 'nigga', 'u', 'better', 'shut', 'fucking', 'mouth', 'duck', 'as']","['dont', 'mom', 'bitch', 'as', 'nigga', 'u', 'better', 'shut', 'fucking', 'mouth', 'duck', 'as']",1
4655,"['going', 'talk', 'shit', 'least', 'back', 'fight', 'bitch', 'as', 'nigga', 'swear', 'u', 'nigga', 'fake', 'pussy', 'boy']","['going', 'talk', 'shit', 'least', 'back', 'fight', 'bitch', 'as', 'nigga', 'swear', 'u', 'nigga', 'fake', 'pussy', 'boy']",1
4656,"['lmfao', 'im', 'still', 'pulling', 'hoe', 'suppose', 'effect', 'suppose', 'hurt', 'felling', 'fuck', 'boy']","['lmfao', 'im', 'still', 'pulling', 'hoe', 'suppose', 'effect', 'suppose', 'hurt', 'felling', 'fuck', 'boy']",1
4657,"['oh', 'woulda', 'coulda', 'shoulda', 'as', 'nigga', 'bitch', 'as', 'nigga', 'u', 'bout', 'oh', 'ban', 'wagging', 'as', 'nigga', 'catch', 'phase']","['oh', 'woulda', 'coulda', 'shoulda', 'as', 'nigga', 'bitch', 'as', 'nigga', 'u', 'bout', 'oh', 'ban', 'wagging', 'as', 'nigga', 'catch', 'phase']",0
4658,"['talkinfgalot', 'shit', 'cant', 'back', 'dem', 'word', 'tho', 'bitch', 'as', 'nigga', 'u', 'talking', 'fighting']","['talkinfgalot', 'shit', 'cant', 'back', 'dem', 'word', 'tho', 'bitch', 'as', 'nigga', 'u', 'talking', 'fighting']",1
4659,"['yeah', 'gonna', 'play', 'retard', 'wanna', 'drug', 'day']","['yeah', 'gonna', 'play', 'retard', 'wanna', 'drug', 'day', '🐸']",2
4660,"['bitch', 'need', 'guidance', 'lol']","['bitch', 'need', 'guidance', 'lol']",1
4661,"['photshopped', 'like', 'piston', 'instead', 'needle', 'might', 'impressed']","['photshopped', 'like', 'PISTONS', 'instead', 'NEEDLES', 'might', 'impressed']",1
4662,"['photo', 'kate', 'upton', 'cheer', 'yankee', 'last', 'night', 'game']","['PHOTOS', 'kate', 'upton', 'cheer', 'yankee', 'last', 'night', 'game']",2
4663,"['think', 'retarded', 'somethin']","['think', 'retarded', 'somethin']",1
4664,"['come', 'davis', 'show', 'celebrate', 'retard']","['come', 'davis', 'show', 'celebrate', 'retard']",1
4665,"['eye', 'witness', 'joel', 'faggot']","['EYE', 'WITNESS', 'joel', 'faggot']",0
4666,"['yeah', 'hoe']","['yeah', 'hoe', '!']",1
4667,"['think', 'anyone', 'mocking', 'man', 'seen', 'people', 'mock', 'bespectacle', 'social', 'medium', 'mourning', 'cultural', 'zeitgeist']","['think', 'anyone', 'mocking', 'man', 'seen', 'people', 'mock', 'bespectacle', 'social', 'medium', 'mourning', 'cultural', 'zeitgeist']",2
4668,"['love', 'much', 'maybe', 'one', 'bitchier', 'bird']","['love', 'much', 'maybe', 'one', 'bitchier', 'bird']",1
4669,"['getting', 'new', 'pussy', 'sharing']","['getting', 'new', 'pussy', 'sharing']",1
4670,"['seeing', 'ppl', 'saying', 'running', 'train', 'bird', 'parry', 'thing', 'da', 'know', 'looking', 'clarity']","['seeing', 'ppl', 'saying', 'running', 'train', 'bird', 'parry', 'thing', 'da', 'know', 'looking', 'clarity']",2
4671,"['thought', 'would', 'think', 'cute', 'know', 'like', 'shut', 'clam', 'minute']","['thought', 'would', 'think', 'cute', 'know', 'like', 'shut', 'clam', 'minute', '!']",2
4672,"['wya', 'bitch']","['wya', 'bitch']",1
4673,"['redneck', 'crazy']","['redneck', 'crazy']",2
4674,"['believe', 'evolved', 'whatnot', 'find', 'hard', 'believe', 'came', 'ape']","['believe', 'evolved', 'whatnot', 'find', 'hard', 'believe', 'came', 'ape']",2
4675,"['pulled', 'pocket', 'constitution', 'bring', 'man', 'mocked', 'mccains', 'wackobirds', 'comment', 'hahaha']","['pulled', 'pocket', 'constitution', '!', 'bring', 'man', '!', 'mocked', 'mccains', 'wackobirds', 'comment', '!', 'hahaha', '!', '!', '!']",2
4676,"['deep', 'pussy', 'tongue', 'dial', 'need', 'halp']","['deep', 'pussy', 'tongue', 'dial', 'need', 'halp']",1
4677,['faggot'],['faggot'],0
4678,"['supposed', 'hang', 'w', 'week', 'nigger']","['supposed', 'hang', 'w', 'week', 'nigger']",1
4679,"['doubt', 'cause', 'bitch', 'aint', 'nothing', 'nigga', 'downfall']","['doubt', 'cause', 'bitch', 'aint', 'nothing', 'nigga', 'downfall']",1
4680,"['great', 'thing', 'bitch', 'offer', 'laugh', 'laugh', 'laugh']","['great', 'thing', 'bitch', 'offer', '😂', '😂', '😂']",1
4681,"['said', 'aint', 'tricking', 'hoe', 'lls', 'foolish']","['said', 'aint', 'tricking', 'hoe', 'lls', 'foolish']",1
4682,"['bad', 'bitch', 'open', 'mouth']","['bad', 'bitch', 'open', 'mouth']",1
4683,"['trying', 'get', 'job', 'age', 'real', 'bitch', 'let', 'alone', 'new', 'career', 'work', 'year', 'homeless']","['trying', 'get', 'job', 'age', 'real', 'bitch', 'let', 'alone', 'new', 'career', 'work', 'year', 'homeless']",1
4684,"['cunt', 'nigger', 'fuck', 'ball', 'tit', 'cocksucker', 'piss', 'dick', 'kike', 'take', 'swearing', 'go', 'god', 'damn', 'internet']","['cunt', 'nigger', 'fuck', 'ball', 'tit', 'cocksucker', 'piss', 'dick', 'kike', 'take', 'swearing', 'go', 'god', 'damn', 'internet']",1
4685,"['finna', 'get', 'leg', 'dne', 'hand', 'catch', 'hoe']","['finna', 'get', 'leg', 'dne', 'hand', 'catch', 'hoe']",1
4686,"['good', 'one', 'fag', 'boy']","['good', 'one', 'fag', 'boy']",1
4687,"['okay', 'closet', 'fag']","['okay', 'closet', 'fag']",0
4688,"['remember', 'time', 'hilfiger', 'wu', 'seen', 'polo', 'said', 'aint', 'wan', 'nigger', 'wearing', 'ish']","['remember', 'time', 'hilfiger', 'wu', 'seen', 'polo', 'said', 'aint', 'wan', 'nigger', 'wearing', 'ish']",1
4689,['cunt'],['cunt'],1
4690,"['bitch', 'u', 'lame', 'fuk', 'lol']","['bitch', 'u', 'lame', 'fuk', 'lol']",1
4691,"['laugh', 'yea', 'ion', 'brussel', 'sprout', 'barely', 'cordon', 'bleu', 'wanted', 'try', 'something', 'dif', 'get', 'tired', 'nigger', 'food']","['😂', 'yea', 'ion', 'brussel', 'sprout', 'barely', 'cordon', 'bleu', 'wanted', 'try', 'something', 'dif', 'get', 'tired', 'nigger', 'food']",1
4692,"['ok', 'reason', 'god', 'make', 'parasitic', 'worm', 'whose', 'sole', 'purpose', 'burrow', 'eye', 'small', 'african', 'child']","['ok', 'reason', 'god', 'make', 'parasitic', 'worm', 'whose', 'sole', 'purpose', 'burrow', 'eye', 'small', 'african', 'child']",2
4693,"['lol', 'u', 'knw', 'dem', 'project', 'bitch', 'dem', 'light', 'brown', 'roach', 'call', 'dem', 'water', 'bug', 'laugh', 'laugh']","['lol', 'u', 'knw', 'dem', 'project', 'bitch', 'dem', 'light', 'brown', 'roach', 'call', 'dem', 'water', 'bug', '😂', '😂']",1
4694,"['lmao', 'dude', 'said', 'would', 'get', 'commitment', 'saudi', 'arabia', 'jordan', 'crow', 'taste', 'proof', 'full']","['LMAO', 'dude', 'said', 'would', 'get', 'commitment', 'saudi', 'arabia', 'jordan', '!', 'crow', 'taste', 'proof', 'full']",2
4695,"['sure', 'lmao', 'pussy']","['sure', 'lmao', 'pussy', '!']",1
4696,"['hey', 'hoe', 'di', 'doe', 'dat', 'funny', 'da', 'girl']","['hey', 'hoe', 'di', 'doe', 'dat', 'funny', 'da', 'girl']",1
4697,"['chad', 'reed', 'fag', 'th', 'kinda', 'guy']","['chad', 'reed', 'fag', 'th', 'kinda', 'guy']",1
4698,"['ya', 'fag']","['ya', 'fag']",0
4699,"['bright', 'neon', 'yellow', 'gauntlet']","['bright', 'neon', 'yellow', 'gauntlet']",2
4700,"['fucking', 'many', 'hoe']","['fucking', 'many', 'hoe']",1
4701,"['ahmed', 'retard', 'mikey', 'special', 'olympic', 'boxing']","['ahmed', 'retard', 'mikey', 'special', 'olympic', 'boxing']",0
4702,"['lol', 'basically', 'like', 'got', 'many', 'hoe', 'curve']","['lol', 'basically', 'like', 'got', 'many', 'hoe', 'curve']",1
4703,"['height', 'yeah', 'chunky', 'bitch']","['height', 'yeah', 'chunky', 'bitch']",1
4704,"['called', 'basic', 'bitch', 'sure', 'feel']","['called', 'basic', 'bitch', 'sure', 'feel']",1
4705,"['retarded', 'love', 'always', 'retarded']","['retarded', 'love', 'always', 'retarded']",1
4706,"['little', 'bitch']","['little', 'bitch']",1
4707,"['follow', 'u', 'sexy', 'bitch']","['follow', 'u', 'sexy', 'bitch']",1
4708,"['lebron', 'bitch']","['lebron', 'bitch']",1
4709,"['guy', 'pussy']","['guy', 'pussy', '😏', '👏']",1
4710,"['bird', 'ground', 'still', 'alive', 'believe']","['bird', 'ground', 'still', 'alive', 'believe']",2
4711,"['know', 'calling', 'fag']","['know', 'calling', 'fag']",1
4712,"['shiddd', 'add', 'turn', 'bitch', 'lmao']","['shiddd', 'add', 'turn', 'bitch', 'lmao']",1
4713,"['literally', 'confront', 'bitch', 'ass', 'fo', 'reall', 'trill']","['literally', 'confront', 'bitch', 'ass', '!', 'fo', 'reall', 'trill']",1
4714,"['da', 'calld', 'usen', 'yo', 'brain', 'retard', 'would', 'whoop', 'yo', 'as', 'n', 'front', 'da', 'police']","['da', 'calld', 'usen', 'yo', 'brain', 'retard', 'would', 'whoop', 'yo', 'as', 'n', 'front', 'da', 'police']",0
4715,"['guarantee', 'thing', 'white', 'never', 'anywhere', 'near', 'real', 'ghetto', 'relative', 'pig']","['guarantee', 'thing', 'white', 'never', 'anywhere', 'NEAR', 'real', 'ghetto', 'relative', 'pig']",0
4716,"['photoshop', 'nig']","['photoshop', 'nig']",1
4717,"['bitch', 'k']","['bitch', 'k']",1
4718,"['gun', 'bad', 'bitch', 'smile']","['gun', 'bad', 'bitch', '😄']",1
4719,"['damn', 'got', 'called', 'hoe']","['damn', 'got', 'called', 'hoe']",1
4720,"['go', 'get', 'sum', 'bitch']","['go', 'get', 'sum', 'bitch']",1
4721,"['remember', 'african', 'bitch', 'used', 'work', 'cmi']","['remember', 'african', 'bitch', 'used', 'work', 'CMI', '!']",1
4722,"['right', 'bitch', 'like', 'damn', 'hope', 'get', 'job', 'target', 'bitch', 'better', 'still', 'livin', 'ya', 'momma', 'as', 'hoe']","['right', '!', 'bitch', 'like', 'damn', 'hope', 'get', 'job', 'target', 'BITCH', 'DO', 'BETTER', '!', '!', '!', 'still', 'livin', 'ya', 'momma', 'as', 'hoe']",1
4723,"['hey', 'hun']","['hey', 'hun', '!']",2
4724,"['billy', 'goat', 'hillbilly', 'sucking', 'fucking', 'disgraceful', 'brazzen', 'faced', 'unabashed', 'pig']","['billy', 'goat', 'hillbilly', 'sucking', 'fucking', 'disgraceful', 'brazzen', 'faced', 'unabashed', 'pig']",1
4725,"['best', 'believe', 'aint', 'christian', 'slave', 'brainwash', 'black', 'spook', 'miss', 'white', 'man', 'unlike', 'yoself', 'devil']","['best', 'believe', 'aint', 'christian', 'slave', 'brainwash', 'black', 'spook', 'miss', 'white', 'man', 'unlike', 'yoself', 'devil']",0
4726,"['end', 'day', 'call', 'yo', 'dumb', 'as', 'monkey', 'pickananny', 'hoe', 'u', 'luv', 'white', 'devil']","['end', 'day', 'call', 'yo', 'dumb', 'as', 'monkey', 'pickananny', 'hoe', 'u', 'luv', 'white', 'devil']",0
4727,"['word', 'accustomed', 'nigger', 'muchyour', 'almighty', 'one', 'next', 'u', 'yo', 'nigger']","['word', 'accustomed', 'nigger', 'muchyour', 'almighty', 'one', 'next', 'u', 'yo', 'nigger']",1
4728,"['convince', 'u', 'lame', 'nigger', 'liver', 'belief', 'cuz', 'nigger', 'whore']","['convince', 'u', 'lame', 'nigger', 'liver', 'belief', 'cuz', 'nigger', 'whore']",0
4729,"['give', 'flying', 'fuck', 'teabagger', 'piece', 'human', 'garbage', 'like', 'think']","['give', 'flying', 'fuck', 'teabagger', 'piece', 'human', 'garbage', 'like', 'think']",0
4730,"['teabagger', 'scum', 'want', 'threaten', 'people', 'penis', 'extender', 'danger', 'country']","['teabagger', 'scum', 'want', 'threaten', 'people', 'penis', 'extender', 'danger', 'country']",0
4731,"['hahahah', 'real', 'like', 'bitch', 'crazy', 'lol']","['hahahah', 'real', 'like', 'bitch', 'crazy', 'lol']",1
4732,"['wedlock', 'birth', 'lie', 'latino', 'nd', 'place', 'mostly', 'driven', 'illegal', 'alien', 'w', 'anchor', 'baby']","['wedlock', 'birth', 'lie', 'latino', 'nd', 'place', 'mostly', 'driven', 'illegal', 'alien', 'w', 'anchor', 'baby']",2
4733,"['crushed', 'got', 'exotic', 'bitch', 'dream']","['DID', 'crushed', 'got', 'EXOTIC', 'bitch', '!', 'dream']",1
4734,"['medal', 'hate', 'fag', 'kill', 'medal', 'thank', 'u', 'privilege', 'let', 'fag', 'live']","['medal', 'hate', 'fag', 'kill', 'medal', 'thank', 'u', 'privilege', 'let', 'fag', 'live']",0
4735,"['ignore', 'sorry', 'called', 'bitch', 'uncalled']","['ignore', 'sorry', 'called', 'bitch', 'uncalled']",1
4736,"['gotta', 'turn', 'hoe', 'housewife']","['gotta', 'turn', 'hoe', 'housewife']",1
4737,"['besides', 'ur', 'imposter', 'idol', 'look', 'nothing', 'like', 'word', 'god', 'described', 'saviour', 'israel', 'revelation', 'envious', 'bitch']","['besides', 'ur', 'imposter', 'idol', 'look', 'nothing', 'like', 'word', 'god', 'described', 'saviour', 'israel', 'revelation', 'envious', 'bitch', '!']",1
4738,"['mock', 'done', 'simulator', 'check', 'pick', 'team', 'many', 'round', 'go']","['mock', 'done', 'simulator', 'check', 'pick', 'team', 'many', 'round', 'go']",2
4739,"['colored', 'lebanese']","['colored', 'lebanese']",2
4740,"['shame', 'selfhating', 'kike', 'jew', 'gd', 'chosen', 'people']","['shame', '!', 'selfhating', 'kike', 'jew', 'gd', 'chosen', 'people']",0
4741,"['call', 'house', 'nigger', 'racist', 'fathom', 'hypocrisy', 'statement']","['call', 'house', 'nigger', 'racist', 'fathom', 'hypocrisy', 'statement']",0
4742,"['bitch', 'like', 'bitch']","['bitch', 'like', 'bitch']",1
4743,"['fact', 'laugh', 'idc', 'iont', 'bitch', 'good', 'lol']","['fact', '😂', 'IDC', 'iont', 'bitch', 'good', 'lol']",1
4744,"['sure', 'slant', 'plagiarist', 'idea']","['sure', 'slant', 'plagiarist', 'idea']",2
4745,"['fuckin', 'want', 'tired', 'bullshit', 'faggot', 'as', 'closet', 'racist', 'wannabecommunewithoutrailroad', 'state']","['fuckin', 'want', 'OUT', 'tired', 'bullshit', 'faggot', 'as', 'closet', 'racist', 'wannabecommunewithoutrailroad', 'state']",0
4746,"['honestly', 'retarded', 'stuck', 'artist', 'hoping', 'fair', 'dealer', 'manager', 'situation']","['honestly', 'retarded', 'stuck', 'artist', 'hoping', 'fair', 'dealer', 'manager', 'situation']",2
4747,"['u', 'bitch', 'boy']","['u', 'bitch', 'boy']",1
4748,"['texted', 'u', 'fag']","['texted', 'u', 'fag']",1
4749,"['lil', 'nigga', 'middle', 'locked', 'wid', 'bitch']","['lil', 'nigga', 'middle', 'locked', 'wid', 'bitch']",1
4750,"['nigga', 'bitch', 'man']","['nigga', 'bitch', 'man', '!']",1
4751,"['made', 'endearing', 'name', 'u', 'like', 'nigger', 'spook', 'monkey']","['made', 'endearing', 'name', 'u', 'like', 'nigger', 'spook', 'monkey']",1
4752,"['ooo', 'logan', 'pulling', 'bitch']","['ooo', 'logan', 'pulling', 'bitch']",1
4753,"['bad', 'little', 'bitch']","['bad', 'little', 'bitch']",1
4754,"['mhmm', 'tweet', 'bird']","['mhmm', 'tweet', 'bird', '🐥']",2
4755,"['lmao', 'let', 'u', 'hangout', 'weekend', 'hoe']","['LMAO', 'let', 'u', 'hangout', 'weekend', 'hoe']",1
4756,"['pimping', 'guy', 'park', 'playing', 'bitch', 'volleyball']","['pimping', 'guy', 'park', 'playing', 'bitch', 'volleyball']",1
4757,"['never', 'happen', 'faggot', 'got', 'complemented', 'today', 'golf', 'several', 'time']","['NEVER', 'happen', 'faggot', 'got', 'complemented', 'today', 'golf', 'several', 'time']",1
4758,['faggot'],['faggot'],0
4759,"['hii', 'fag']","['hii', 'fag']",1
4760,"['biggest', 'faggot', 'world']","['biggest', 'faggot', 'world']",0
4761,['hoe'],['hoe'],1
4762,"['like', 'call', 'someone', 'nigger', 'black', 'act', 'like', 'nigger']","['like', 'call', 'someone', 'nigger', '!', 'black', 'act', 'LIKE', 'NIGGER', '!']",0
4763,"['careful', 'might', 'try', 'queer', 'ya']","['careful', 'might', 'try', 'queer', 'ya', '!']",1
4764,"['oh', 'see', 'part', 'giant', 'govt', 'take', 'eh', 'stockboy', 'joke', 'representative', 'teabagger']","['oh', 'see', 'part', 'giant', 'govt', 'take', 'eh', 'stockboy', 'joke', 'representative', 'teabagger']",1
4765,"['bullshit', 'guess', 'poor', 'money', 'tax', 'money', 'mover', 'rate', 'working', 'people', 'teabaggers', 'traitor']","['bullshit', 'guess', 'poor', 'money', 'tax', 'money', 'mover', 'rate', 'working', 'people', 'teabaggers', 'traitor']",1
4766,"['didnt', 'propose', 'brilliant', 'idea', 'college', 'student', 'packing', 'heat', 'savant', 'teabaggers']","['didnt', 'propose', 'brilliant', 'idea', 'college', 'student', 'packing', 'heat', 'savant', '!', 'teabaggers']",1
4767,"['he', 'friggin', 'idiot', 'say', 'anything', 'redneck', 'teabagger', 'constituants', 'buy', 'love', 'stupid', 'people']","['he', 'friggin', 'idiot', 'say', 'anything', 'redneck', 'teabagger', 'constituants', 'buy', 'love', 'stupid', 'people']",0
4768,"['hey', 'turd', 'cutter', 'stop', 'tweeting', 'juvenile', 'shit', 'job', 'teabagger']","['hey', 'turd', 'cutter', 'stop', 'tweeting', 'juvenile', 'shit', 'DO', 'YOUR', 'JOB', 'teabagger']",1
4769,"['stockboy', 'u', 'talk', 'u', 'tweet', 'lie', 'childish', 'shit', 'obamayoure', 'unqualified', 'appeal', 'dumb', 'redneck']","['stockboy', 'u', 'talk', 'u', 'tweet', 'lie', 'childish', 'shit', 'obamayoure', 'unqualified', 'appeal', 'dumb', 'redneck']",1
4770,"['teabagger', 'dunce', 'want', 'eliminate', 'education', 'together', 'groom', 'teabag', 'voter', 'lol']","['teabagger', 'dunce', 'want', 'eliminate', 'education', 'together', 'groom', 'teabag', 'voter', 'lol']",1
4771,"['lazy', 'redneck', 'get', 'back', 'work', 'governing', 'stay', 'twitter', 'lying', 'bullshit']","['lazy', 'redneck', 'get', 'back', 'work', 'governing', 'stay', 'twitter', 'lying', 'bullshit']",1
4772,"['much', 'knob', 'gobble', 'one', 'day', 'youre', 'head', 'blockhead']","['much', 'knob', 'gobble', 'one', 'day', 'youre', 'head', 'blockhead']",1
4773,"['white', 'conservative', 'teabaggers', 'make', 'world', 'go', 'round', 'please', 'ruler', 'stockboy']","['white', 'conservative', 'teabaggers', 'make', 'world', 'go', 'round', 'please', 'ruler', 'stockboy']",2
4774,"['anti', 'american', 'republican', 'teabaggers', 'stop', 'forcing', 'ur', 'religion', 'rest', 'u', 'stockman', 'u', 'dont', 'prayliar']","['anti', 'american', 'republican', 'teabaggers', 'stop', 'forcing', 'ur', 'religion', 'rest', 'u', 'stockman', 'u', 'dont', 'prayliar']",2
4775,"['ted', 'cruz', 'leader', 'lol', 'lol', 'lol', 'lol', 'lol', 'omg', 'lol', 'lol', 'lol', 'lol', 'lol', 'funny', 'as', 'redneck', 'lol', 'lol', 'lol', 'lol']","['ted', 'cruz', 'leader', 'lol', 'lol', 'lol', 'lol', 'lol', 'OMG', 'lol', 'lol', 'lol', 'lol', 'lol', 'funny', 'as', 'redneck', 'lol', 'lol', 'lol', 'lol']",1
4776,"['friggin', 'red', 'state', 'pussy', 'republican', 'parent']","['friggin', 'red', 'state', 'pussy', 'republican', 'parent', '!']",1
4777,"['golly', 'wompers', 'dad', 'gum', 'son', 'lyin', 'cheatin', 'scoundrel', 'fucking', 'man', 'ya', 'chicken', 'shit', 'pussy', 'republican']","['golly', 'wompers', 'dad', 'gum', 'son', 'lyin', 'cheatin', 'scoundrel', 'fucking', '!', 'man', 'ya', 'chicken', 'shit', 'pussy', 'republican']",1
