,preprocessing_without_emoticons,preprocessing_with_emoticons,class
1372,"['fuck', 'ugly', 'show', 'teeth', 'laugh', 'laugh', 'laugh', 'bitch', 'fuck', 'u']","['fuck', 'ugly', 'show', 'teeth', '😂', '😂', '😂', '💀', '💀', '💀', 'bitch', 'fuck', 'u']",1
1373,"['cool', 'son', 'know', 'grand', 'bald', 'mouth', 'got', 'teeth', 'laugh', 'laugh']","['cool', 'son', 'know', 'grand', 'bald', 'mouth', 'got', 'teeth', '😂', '😂']",1
1374,"['mo', 'bitch', 'special', 'ed', 'darling', 'backatown', 'laugh', 'laugh']","['mo', 'bitch', 'special', 'ed', 'darling', 'backatown', '😂', '😂', '💀']",1
1375,"['fit', 'small', 'as', 'street', 'son', 'bitch', 'know', 'happen', 'last', 'time', 'st', 'laugh']","['fit', 'small', 'as', 'street', 'son', 'bitch', 'know', 'happen', 'last', 'time', 'st', '😂']",1
1376,"['going', 'dumb', 'essay', 'laugh', 'bitch', 'sad']","['going', 'dumb', 'essay', '😂', 'bitch', 'sad']",1
1377,"['tucked', 'th', 'grade', 'yeah', 'bitch', 'want', 'fight', 'dawn', 'as']","['tucked', 'th', 'grade', 'yeah', 'bitch', 'want', 'fight', 'dawn', 'as']",1
1378,"['need', 'sleep', 'got', 'school', 'tomorrow', 'bitch', 'got', 'straight', 'ion', 'need', 'go', 'laugh']","['need', 'sleep', 'got', 'school', 'tomorrow', 'bitch', 'got', 'straight', 'ion', 'need', 'go', '😂']",1
1379,"['dont', 'trying', 'disrespectful', 'say', 'bitch', 'term', 'like', 'brush', 'son']","['dont', 'trying', 'disrespectful', 'say', 'bitch', 'term', 'like', 'brush', 'son']",1
1380,"['gone', 'leave', 'laugh', 'laugh', 'sad']","['gone', 'leave', '😂', '😂', '😢']",1
1381,"['next', 'time', 'see', 'bitch', 'beating', 'as', 'job']","['next', 'time', 'see', 'bitch', 'beating', 'as', 'job']",1
1382,"['fuck', 'bitch', 'amused', 'get', 'mi', 'house', 'laugh']","['fuck', 'bitch', '😒', 'get', 'mi', 'house', '🏡', '👊', '🙅', '😂']",1
1383,"['bad', 'bitch', 'thing', 'like']","['bad', 'bitch', 'thing', 'like', '👊', '👀', '👊', '👉', '👉', '👉']",1
1384,"['aunt', 'bundle', 'soon', 'hope', 'bitch', 'happy', 'costing']","['aunt', 'bundle', 'soon', 'hope', 'bitch', 'happy', 'costing']",1
1385,"['get', 'money', 'silly']","['get', 'money', 'silly']",1
1386,"['nigger', 'bitch', 'hiding', 'behind', 'gang', 'aunt']","['nigger', 'bitch', 'hiding', 'behind', 'gang', 'aunt', '💯', '🐸', '🙌', '💯']",1
1387,"['dont', 'say', 'shit', 'else', 'soft', 'bitch', 'lot', 'twitter', 'shit', 'come', 'see']","['DONT', 'say', 'shit', 'else', '!', 'soft', '!', 'bitch', 'lot', 'twitter', 'shit', 'come', 'see']",1
1388,"['night', 'talk', 'bitch', 'day']","['night', 'talk', 'bitch', 'day']",1
1389,"['little', 'stupid', 'as', 'bitch', 'aunt', 'fuckin']","['little', 'stupid', 'as', 'bitch', 'aunt', 'fuckin', '🎵']",1
1390,"['aunt', 'gone', 'lie', 'old', 'head', 'say', 'see', 'figured', 'ah', 'retarded']","['aunt', 'gone', 'lie', 'old', 'head', 'say', 'see', 'figured', 'ah', 'retarded']",1
1391,"['may', 'hero', 'sound', 'young', 'talking', 'bout', 'hoe', 'n', 'weed', 'n', 'shit', 'bah', 'gutta', 'listen', 'shit']","['may', 'hero', 'sound', 'young', 'talking', 'bout', 'hoe', 'n', 'weed', 'n', 'shit', 'bah', 'gutta', 'listen', 'shit']",1
1392,"['night', 'long', 'as', 'monkey', 'arm', 'make', 'best', 'muddle', 'body', 'heard', 'ahahah', 'female', 'told', 'laugh', 'laugh', 'laugh']","['night', 'long', 'as', 'monkey', 'arm', 'make', 'best', 'muddle', 'body', 'heard', 'ahahah', 'female', 'told', '😂', '😂', '😂']",1
1393,"['sometimes', 'hate', 'sometimes', 'love', 'depends', 'time', 'year', 'guess', 'dumb', 'bitch', 'live']","['sometimes', 'hate', 'sometimes', 'love', 'depends', 'time', 'year', 'guess', 'dumb', 'bitch', 'live']",1
1394,"['duke', 'shaving', 'without', 'athletic', 'purpose', 'gay', 'retarded']","['duke', 'shaving', 'without', 'athletic', 'purpose', 'gay', 'retarded']",0
1395,"['eating', 'cut', 'woman', 'cook', 'u', 'gutta', 'get', 'rid']","['eating', 'cut', 'woman', 'cook', '🙊', 'u', 'gutta', 'get', 'rid']",1
1396,"['going', 'miss', 'bitch', 'much', 'sad', 'far', 'right', 'resting', 'girl', 'booty', 'funny', 'shit']","['going', 'miss', 'bitch', 'much', '😭', 'far', 'right', 'resting', 'girl', 'booty', 'funny', 'shit']",1
1397,"['bitch', 'fat', 'as', 'laugh', 'way', 'live', 'u', 'young', 'shit', 'donna', 'get', 'old', 'lot', 'debt']","['bitch', 'fat', 'as', '😂', 'way', 'live', 'u', 'young', 'shit', 'donna', 'get', 'old', 'lot', 'debt']",1
1398,"['laugh', 'marcus', 'bitch', 'as', 'aunt', 'loyal', 'team', 'hopping', 'as', 'laugh', 'sad', 'laugh', 'sad', 'laugh']","['😂', 'marcus', 'bitch', 'as', 'aunt', 'loyal', '!', 'team', 'hopping', 'as', '!', '!', '!', '😂', '😭', '😂', '😭', '😂', '🐸']",1
1399,"['fax', 'type', 'bitch', 'number', 'goose', 'see', 'pip', 'back', 'page', 'thank', 'laugh', 'sad', 'laugh', 'sad']","['fax', 'type', 'bitch', 'number', 'goose', 'see', 'pip', 'back', 'page', 'thank', '😂', '😭', '😂', '😭']",1
1400,"['told', 'never', 'fold', 'never', 'sell', 'sole', 'told', 'stay', 'school', 'soul', 'autocorrect', 'hold']","['told', 'never', 'fold', 'never', 'sell', 'sole', 'told', 'stay', 'school', '!', 'soul', 'autocorrect', 'hold']",1
1401,"['bitch', 'u', 'tried', 'u', 'deserved', 'every', 'foul', 'word', 'came', 'chris', 'mouth', 'bye', 'laugh', 'sad', 'laugh']","['bitch', 'u', 'TRIED', 'u', 'deserved', 'every', 'foul', 'word', 'came', 'chris', 'mouth', '💅', 'bye', '😂', '😭', '😂']",1
1402,"['one', 'last', 'shot', 'love', 'shit', 'digging', 'hoe']","['one', 'last', 'shot', 'love', 'shit', 'digging', 'hoe']",1
1403,"['negro', 'wear', 'size', 'still', 'growing']","['negro', 'wear', 'size', 'still', 'growing']",1
1404,"['good', 'family', 'grm', 'looking', 'hoe', 'hit', 'u', 'later']","['good', 'family', 'grm', 'looking', 'hoe', 'hit', 'u', 'later']",1
1405,"['open', 'starburst', 'candy', 'get', 'yellow', 'may', 'brush']","['open', 'starburst', 'candy', 'get', 'yellow', 'may', 'brush']",2
1406,"['birthday', 'weekend', 'start', 'today', 'shut', 'as']","['birthday', 'weekend', 'start', 'today', 'shut', 'as']",1
1407,"['bitch', 'night', 'pay', 'hoe', 'lay', 'hoe', 'relax', 'one', 'night', 'pay', 'stay', 'hoe']","['bitch', 'night', 'pay', 'hoe', 'lay', 'hoe', 'relax', 'one', 'night', 'pay', 'stay', 'hoe']",1
1408,"['wardrobe', 'consist', 'mostly', 'legging', 'guilty']","['wardrobe', 'consist', 'mostly', 'legging', 'guilty']",1
1409,"['mall', 'bitch', 'money', 'getting', 'something', 'laugh', 'laugh']","['mall', 'bitch', 'money', 'getting', 'something', '😂', '💯', '😂', '💯', '💯', '💯']",1
1410,"['eat', 'lot', 'protein', 'eat', 'lot', 'pussy', 'eat', 'whole', 'as']","['eat', 'lot', 'protein', 'eat', 'lot', 'pussy', 'eat', 'whole', 'as']",1
1411,"['take', 'bitch']","['take', 'bitch']",1
1412,"['live', 'gay', 'afraid', 'two', 'black', 'dock', 'butt', 'fucking', 'queer']","['live', 'gay', 'afraid', 'two', 'black', 'dock', 'butt', 'fucking', 'queer']",0
1413,"['lot', 'male', 'need', 'dress', 'real', 'men', 'halloween', 'since', 'acting', 'like', 'bitch', 'year', 'laugh']","['lot', 'male', 'need', 'dress', 'real', 'men', 'halloween', 'since', 'acting', 'like', 'bitch', 'year', '😂', '🙌']",1
1414,"['want', 'little', 'bitch', 'treat', 'like', 'little', 'bitch']","['want', 'little', 'bitch', 'treat', 'like', 'little', 'bitch']",1
1415,"['water', 'pool', 'fucking', 'hard', 'yeah', 'pussy']","['water', 'pool', 'fucking', 'hard', 'yeah', 'pussy']",1
1416,"['edward', 'loss', 'sparkled', 'laugh', 'laugh', 'bitch', 'reality']","['edward', 'OSS', 'sparkled', '😂', '😂', 'bitch', 'reality']",1
1417,"['old', 'bitch']","['old', 'bitch', '!', '!']",1
1418,"['love', 'song', 'john', 'doe', 'maggoty']","['love', 'song', 'john', 'doe', 'maggoty']",0
1419,"['hate', 'bitch', 'talking', 'shit', 'like', 'clearly', 'like', 'bitch', 'wit', 'da', 'red', 'door', 'laugh', 'laugh']","['hate', 'bitch', 'talking', 'shit', 'like', 'clearly', 'like', 'BITCH', 'WIT', 'RED', 'DOOR', 'HOE', '😂', '😂']",1
1420,"['got', 'done', 'last', 'final', 'walking', 'around', 'camp', 'like', 'place', 'queer']","['got', 'done', 'last', 'final', 'walking', 'around', 'camp', 'like', 'place', 'queer']",0
1421,"['going', 'sleep', 'amused', 'fag']","['going', 'sleep', '😒', 'fag']",1
1422,"['mmm', 'daily', 'story', 'via', 'lui']","['MMMH', 'daily', '!', 'story', 'via', '!', 'lui', '!']",2
1423,"['even', 'hoe', 'silence', 'anymore', 'proud', 'want', 'respect']","['even', 'hoe', 'silence', 'anymore', 'proud', 'want', 'respect']",1
1424,"['fuck', 'good', 'trip', 'even', 'good', 'dick', 'make', 'bitch', 'go', 'crazy']","['fuck', 'GOOD', 'trip', 'even', 'good', 'dick', 'make', 'bitch', 'go', 'crazy']",1
1425,"['many', 'hoe', 'preach']","['many', 'hoe', 'preach']",1
1426,"['photographer', 'back', 'story', 'started', 'pussy']","['photographer', 'back', 'story', 'started', 'pussy']",1
1427,"['sounded', 'like', 'fag', 'last', 'day', 'smile', 'smile', 'emotion', 'inspiring']","['sounded', 'like', 'fag', 'last', 'day', '🙈', '😁', '😁', 'emotion', 'inspiring', '💖']",1
1428,"['girl', 'w', 'fat', 'pussy', 'slim', 'waist', 'fat', 'as', 'n', 'innocent', 'smile', 'true']","['girl', 'w', 'fat', 'pussy', 'slim', 'waist', 'fat', 'as', 'n', 'innocent', 'smile', 'true']",1
1429,"['seminole', 'redskin', 'k', 'seminude', 'tribe', 'got', 'agreement', 'feu', 'pay', 'use', 'name']","['seminole', 'redskin', 'k', 'seminude', 'tribe', 'got', 'agreement', 'feu', 'pay', 'use', 'name']",1
1430,"['pussy', 'wet']","['pussy', 'wet']",1
1431,"['damn', 'weed', 'pothead', 'annoying', 'twitter', 'weed', 'pot', 'thing', 'faggot']","['damn', 'weed', 'pothead', 'annoying', 'twitter', 'weed', 'pot', 'thing', 'faggot']",0
1432,"['dreaming', 'www', 'bitch', 'must', 'tucked', 'laugh', 'laugh']","['dreaming', '😍', '😍', 'www', 'bitch', 'must', 'tucked', '😂', '😂']",1
1433,"['may', 'bitch', 'listening', 'gospel', 'music', 'w', 'liquor', 'hand', 'weaaakkk', 'lmfaooo', 'cry']","['LMAO', 'bitch', 'listening', 'gospel', 'music', 'w', 'liquor', 'hand', 'weaaakkk', 'lmfaooo', 'cry']",1
1434,"['mania', 'bitch', 'as', 'eva', 'cheat', 'fig', 'fine', 'as', 'ion', 'edit', 'sleepy', 'nigga', 'look', 'thought', 'knew', 'dat', 'sleepy']","['mania', 'bitch', 'as', 'eva', 'cheat', 'fig', 'fine', 'as', 'ion', 'edit', '😴', 'nigga', 'look', 'thought', 'knew', 'dat', '😴']",1
1435,"['feel', 'disrespected', 'bitch', 'try', 'suck', 'dry', 'lip']","['feel', 'disrespected', 'bitch', 'try', 'suck', 'dry', 'lip', '💀', '💀']",1
1436,"['bitch', 'switch', 'room', 'night', 'hell']","['bitch', 'switch', 'room', 'night', '!', '!', '!', '👀', '👀', 'hell']",1
1437,"['hope', 'bread', 'loaf', 'thick', 'chill', 'duke', 'rapier']","['hope', 'bread', 'loaf', 'thick', 'chill', 'duke', 'rapier']",0
1438,"['cowboy', 'win', 'game', 'regular', 'season', 'get', 'playoff', 'trash', 'hating', 'as', 'nigga']","['cowboy', 'win', 'game', 'regular', 'season', 'get', 'playoff', 'trash', 'hating', 'as', 'nigga']",0
1439,"['bitch', 'really', 'wave', 'got', 'hoe']","['bitch', 'really', 'wave', 'got', 'hoe']",1
1440,"['night', 'want', 'good', 'girl', 'still', 'anna', 'fuck', 'hoe', 'aunt', 'gone', 'work', 'gutta', 'pick', 'one', 'laugh', 'laugh', 'laugh', 'boy', 'soft']","['night', 'want', 'good', 'girl', 'still', 'anna', 'fuck', 'hoe', 'aunt', 'gone', 'work', 'gutta', 'pick', 'one', '😂', '😂', '😂', 'boy', 'soft']",1
1441,"['splash', 'anna', 'bitch', 'wednesday', 'tomorrow']","['splash', 'anna', 'bitch', 'wednesday', 'tomorrow']",1
1442,"['damn', 'brownish', 'swear', 'may']","['damn', 'brownish', 'swear', 'may']",1
1443,"['mon', 'dont', 'call', 'girl', 'bitch', 'somebody', 'daughter', 'sister', 'niece', 'somebody', 'bitch']","['mon', 'dont', 'call', 'girl', 'bitch', 'somebody', 'daughter', 'sister', 'niece', 'somebody', 'bitch']",1
1444,"['white', 'kiss', 'favorite', 'activity', 'calling', 'people', 'nigger', 'box', 'fucking', 'pet', 'shooting', 'school']","['white', 'kiss', 'favorite', 'activity', 'calling', 'people', 'nigger', 'box', 'fucking', 'pet', 'shooting', 'school']",0
1445,"['bitch', 'water', 'dare', 'look']","['bitch', 'water', '!', '!', '!', 'dare', 'YOOO', 'LOOOL']",1
1446,"['throwing', 'lamp', 'bitch', 'need', 'lighten', 'true', 'dat']","['throwing', 'lamp', 'bitch', 'need', 'lighten', 'true', 'dat']",1
1447,"['using', 'b', 'measure', 'slope', 'as', 'girl']","['using', 'b', 'measure', 'slope', 'as', 'girl']",1
1448,"['way', 'fuck', 'bitch']","['way', 'fuck', 'bitch']",1
1449,"['way', 'fuck', 'bitch']","['way', 'fuck', 'bitch']",1
1450,"['brother', 'faggot']","['brother', 'faggot']",1
1451,"['dint', 'blame', 'night', 'female', 'see', 'as', 'way', 'go', 'listen', 'money', 'fruitcake']","['dint', 'blame', 'night', 'female', 'see', 'as', 'way', 'go', 'listen', 'money', 'fruitcake']",1
1452,"['bit', 'trash', 'mine', 'pretty', 'good']","['bit', 'trash', 'mine', 'pretty', 'good']",2
1453,"['bout', 'time', 'check', 'want', 'man', 'want', 'support', 'tell', 'bitch', 'get', 'bar']","['bout', 'time', 'check', 'want', 'man', 'want', 'support', 'tell', 'bitch', 'get', 'bar']",1
1454,"['pussy', 'stand']","['pussy', 'stand']",1
1455,"['remember', 'brow', 'laugh', 'show', 'people', 'laugh', 'laugh', 'sad']","['remember', 'brow', '😂', 'show', 'people', '😂', '😂', '😭', '😷']",1
1456,"['got', 'hoe', 'found', 'letter', 'car', 'naval']","['got', 'hoe', 'found', 'letter', 'car', 'naval']",1
1457,"['sending', 'node', 'snap', 'chat', 'one', 'gun', 'favorite', 'laugh', 'laugh', 'laugh', 'sad']","['sending', 'node', 'snap', 'chat', 'one', 'gun', 'favorite', '😂', '😂', '😂', '😭']",1
1458,"['whole', 'lot', 'better', 'driving', 'vehicle', 'white', 'pussy', 'utah', 'get']","['whole', 'lot', 'better', 'driving', 'vehicle', 'white', 'pussy', 'utah', 'get']",1
1459,"['longer', 'side', 'bitch', 'laugh', 'sad']","['longer', 'side', 'bitch', '😂', '😭']",1
1460,"['spitting', 'people', 'show', 'raised', 'right', 'another', 'word', 'bitch', 'nigga', 'trait']","['spitting', 'people', 'show', 'raised', 'right', 'another', 'word', 'bitch', 'nigga', 'trait']",1
1461,"['spongebob', 'beating', 'bitch']","['spongebob', 'beating', 'bitch']",1
1462,"['relationship', 'made', 'two', 'bitch', 'know', 'count', 'amen']","['relationship', 'made', 'two', 'bitch', 'know', 'count', 'amen', '!']",1
1463,"['everyone', 'think', 'funny', 'wandering', 'jizzbag', 'automatically', 'toll', 'hate', 'colored', 'folk']","['everyone', 'think', 'funny', 'wandering', 'jizzbag', 'automatically', 'toll', 'hate', 'colored', 'folk']",1
1464,"['darkskin', 'girl', 'ugly', 'as', 'bitch']","['darkskin', 'girl', 'ugly', '🆗', '🆒', 'as', 'bitch']",1
1465,"['fashion', 'world', 'urban', 'mean', 'stolen', 'black', 'people', 'ghent', 'u', 'urban', 'hata']","['fashion', 'world', 'urban', 'mean', 'stolen', 'black', 'people', 'ghent', 'u', 'urban', 'hata', '🙌']",2
1466,"['like', 'bitch', 'gutta', 'pretty', 'pussy', 'loose']","['like', 'bitch', 'gutta', 'pretty', 'pussy', 'loose']",1
1467,"['white', 'girl', 'u', 'holly', 'noon', 'brother', 'go', 'ugliness', 'bad', 'built', 'hoe', 'ever']","['white', 'girl', 'u', 'holly', 'noon', 'brother', 'go', 'ugliness', 'bad', 'built', 'hoe', 'ever']",1
1468,"['young', 'pillow']","['young', 'pillow']",1
1469,"['survived', 'swine', 'fly', 'bird', 'fly', 'west', 'nile', 'bloomberg', 'administration', 'fine', 'abortion', 'survival', 'get']","['survived', 'swine', 'fly', 'bird', 'fly', 'west', 'nile', 'bloomberg', 'administration', 'fine', 'abortion', 'survival', 'get']",2
1470,"['foi', 'favorite', 'type', 'bitch']","['FYI', 'favorite', 'type', 'bitch']",1
1471,"['sweet', 'trash']","['sweet', 'trash']",2
1472,"['small', 'titty', 'bitch', 'pierced', 'nipple', 'look', 'like', 'staple', 'laugh', 'laugh', 'laugh', 'may']","['small', 'titty', 'bitch', 'pierced', 'nipple', 'look', 'like', 'staple', '😂', '😂', '😂', 'may']",1
1473,"['ready', 'blow', 'bitch', 'fellow']","['ready', 'blow', 'bitch', '🔥', 'fellow']",1
1474,"['could', 'find', 'anything', 'hold', 'hair', 'let', 'alone', 'put', 'pony', 'bitch', 'said', 'post', 'dusted', 'pick', 'sad']","['could', 'find', 'anything', 'hold', 'hair', 'let', 'alone', 'put', 'pony', 'bitch', 'said', 'post', 'dusted', 'pick', '😭']",1
1475,"['leave', 'trash', 'frightened', 'sad', 'sad', 'sad', 'u', 'sick']","['leave', 'trash', '😨', '😭', '😭', '😭', 'u', 'sick']",2
1476,"['wont', 'got', 'type', 'bad', 'bitch', 'thing', 'like', 'aye', 'living', 'life']","['wont', 'got', 'type', 'bad', 'bitch', 'thing', 'like', '👯', '💃', '💃', 'aye', 'living', 'life']",1
1477,"['dumb', 'beaner']","['dumb', 'beaner']",2
1478,"['try', 'keep', 'bitch', 'lay', 'away', 'way', 'feel']","['try', 'keep', 'bitch', 'lay', 'away', 'way', 'feel']",1
1479,"['trust', 'bitch', 'ah']","['trust', 'bitch', 'ah']",1
1480,"['wrong', 'get', 'bitch', 'started', 'talking', 'shit', 'laugh', 'yes']","['wrong', 'get', 'bitch', 'started', 'talking', 'shit', '😂', 'yes', '!']",1
1481,"['aunt', 'nothing', 'better', 'life', 'meeting', 'full', 'time', 'job', 'let', 'benefit', 'nigga']","['aunt', 'nothing', 'better', 'life', 'meeting', 'full', 'time', 'job', 'let', 'benefit', 'nigga']",1
1482,"['bone', 'shit', 'right', 'laugh', 'seen', 'em', 'walking', 'street', 'cut', 'crib', 'lucky', 'fig']","['bone', 'shit', 'right', '😂', 'seen', 'em', 'walking', 'street', 'cut', 'crib', '!', 'lucky', 'fig']",1
1483,"['heard', 'thigh', 'gap', 'way', 'telling', 'bitch', 'pussy', 'loose']","['heard', 'thigh', 'gap', 'way', 'telling', 'bitch', 'pussy', 'loose']",1
1484,"['threw', 'hoe', 'away', 'also', 'threw', 'life', 'away', 'brush', 'sad', 'sad', 'laugh', 'laugh', 'laugh']","['threw', 'hoe', 'away', 'also', 'threw', 'life', 'away', 'brush', '😭', '😭', '😂', '😂', '😂']",1
1485,"['hata', 'hahahahahahahahahaahah', 'deep', 'nut', 'bitch']","['hata', 'hahahahahahahahahaahah', 'deep', 'nut', 'bitch']",1
1486,"['hate', 'driving', 'rain', 'drive', 'deep', 'nut', 'mouth']","['hate', 'driving', 'rain', 'drive', 'deep', 'nut', 'mouth']",1
1487,"['opinion', 'irrelevant', 'cunt']","['opinion', 'irrelevant', 'cunt']",1
1488,"['true', 'nothing', 'shuts', 'libdog', 'bitch', 'like', 'bark', 'anything', 'called', 'preaching', 'truth']","['true', 'nothing', 'shuts', 'libdog', 'bitch', 'like', 'bark', 'anything', 'THATS', 'CALLED', 'PREACHING', 'THE', 'TRUTH', '!']",1
1489,"['fuck', 'right', 'pussy', 'wish', 'due', 'grand', 'laugh']","['fuck', 'right', 'pussy', 'wish', 'due', 'grand', '😂']",1
1490,"['see', 'bitch', 'talking', 'smack', 'playground']","['see', 'bitch', 'talking', 'smack', 'playground']",1
1491,"['want', 'express', 'paper', 'big', 'booty', 'laugh', 'laugh', 'laugh']","['want', 'express', 'paper', 'big', 'booty', '😂', '😂', '😂']",1
1492,"['brow', 'hate', 'nose', 'bitch', 'others']","['brow', 'hate', 'nose', 'bitch', 'others']",1
1493,"['got', 'money', 'gun', 'gold', 'bitch', 'nd', 'stack', 'nigga', 'fuck', 'net', 'beef', 'shutter', 'get', 'night', 'bring', 'dat', 'friday', 'den']","['got', 'money', 'gun', 'gold', 'bitch', 'nd', 'stack', 'nigga', 'fuck', 'net', 'beef', 'shutter', 'get', 'night', 'bring', 'dat', 'friday', 'den']",1
1494,"['bitch', 'come', 'hope', 'bout', 'sick', 'shit', 'tapping', 'hugging']","['bitch', 'come', 'hope', 'bout', 'sick', 'shit', 'tapping', '👀', 'hugging']",1
1495,"['finn', 'eat', 'pussy', 'may']","['finn', 'eat', 'pussy', 'may']",1
1496,"['girl', 'take', 'snap', 'back', 'penny', 'dollar', 'hat', 'ax', 'penny', 'amused', 'let', 'take']","['girl', 'take', 'snap', 'back', 'penny', '💩', 'dollar', 'hat', 'penny', '😒', 'let', 'take']",2
1497,"['new', 'breed', 'white', 'girl', 'slammed', 'bitch', 'laugh']","['new', 'breed', 'white', 'girl', 'slammed', 'bitch', '😏', '😂']",1
1498,"['bitch', 'could', 'pay', 'get', 'dem', 'pregnant', 'laugh', 'laugh', 'laugh', 'fr', 'ion', 'see', 'niche', 'popping', 'kiss']","['bitch', 'could', 'pay', 'get', 'dem', 'pregnant', '🙌', '😂', '😂', '😂', 'fr', 'ion', 'see', 'niche', 'popping', 'kiss']",1
1499,"['night', 'want', 'pussy', 'aunt', 'giving', 'lie', 'dilemma', 'cool']","['night', 'want', 'pussy', 'aunt', 'giving', 'lie', 'dilemma', 'cool']",1
1500,"['ahahah', 'bitch', 'make', 'fall', 'love', 'laugh']","['ahahah', 'bitch', '!', 'make', 'fall', 'love', '😂']",1
1501,"['busy', 'tattoo', 'wife', 'girl', 'wink', 'laugh', 'bitch']","['busy', 'tattoo', 'wife', 'girl', '😉', '😜', '😏', '😂', 'bitch']",1
1502,"['bitch', 'saying', 'ray', 'rice', 'got', 'deserved', 'month', 'ago', 'wanted', 'man', 'free']","['bitch', 'saying', 'ray', 'rice', 'got', 'deserved', 'month', 'ago', 'wanted', 'man', 'free', '🐸']",1
1503,"['bitch', 'like', 'mess', 'laugh', 'laugh', 'sad']","['bitch', 'like', 'mess', '👈', '👈', '👈', '😩', '😂', '😂', '😩', '👏', '😭']",1
1504,"['ask', 'emma', 'eat', 'pussy']","['ask', 'emma', 'eat', 'pussy']",1
1505,"['girl', 'eat', 'mo', 'pussy', 'girl', 'nigga', 'jam']","['girl', 'eat', 'mo', 'pussy', 'girl', 'nigga', 'jam']",1
1506,"['leave', 'within', 'bitch']","['leave', 'within', 'bitch']",1
1507,"['last', 'night', 'well', 'fun', 'may', 'got', 'pussy', 'unfortunately']","['last', 'night', 'well', 'fun', 'may', 'got', 'pussy', 'unfortunately']",1
1508,"['female', 'love', 'nigga', 'jail', 'bird']","['female', 'love', 'nigga', 'jail', 'bird', '!', '!', '!']",1
1509,"['lucky', 'shit', 'got', 'shanty', 'want', 'nigh', 'trying', 'keep']","['lucky', 'shit', 'got', 'shanty', 'want', '😏', '💯', 'nigh', 'trying', 'keep']",1
1510,"['get', 'brow', 'text', 'another', 'nigger']","['get', 'brow', 'text', 'another', 'nigger']",1
1511,"['accidentally', 'ate', 'pot', 'brown', 'guess', 'go', 'pledge', 'drug', 'free', 'life', 'old', 'may']","['accidentally', 'ate', 'pot', 'brown', 'guess', 'go', 'pledge', 'drug', 'free', 'life', 'old', 'may']",2
1512,"['else', 'think', 'lip', 'biting', 'fucking', 'sexy', 'bitch', 'bite', 'hard', 'put']","['else', 'think', 'lip', 'biting', 'fucking', 'sexy', 'bitch', 'bite', 'hard', 'put']",1
1513,"['kiss', 'call', 'nigger', 'box']","['kiss', 'call', 'nigger', 'box']",1
1514,"['feel', 'throwing', 'trash', 'away', 'everyday', 'school']","['feel', 'throwing', 'trash', 'away', 'everyday', 'school']",2
1515,"['make', 'u', 'www', 'hoe', 'favorite', 'laugh', 'laugh']","['make', 'u', 'WCW', 'hoe', 'favorite', '😈', '😈', '😈', '😂', '😂']",1
1516,"['female', 'know', 'hoe', 'really', 'coolest', 'check', 'sex', 'side', 'may']","['female', 'know', 'hoe', 'really', 'coolest', 'check', 'sex', 'side', 'may']",1
1517,"['game', 'fuck', 'bitch', 'attitude', 'laugh', 'laugh', 'laugh', 'sad', 'sad']","['game', 'fuck', 'bitch', 'attitude', '😂', '😂', '😂', '😭', '😭']",1
1518,"['might', 'female', 'pussy', 'wet', 'cause', 'cried']","['might', 'female', 'pussy', 'wet', 'cause', 'cried']",1
1519,"['say', 'bitch', 'bad', 'woman', 'good', 'lady', 'better', 'lure']","['say', 'bitch', 'bad', 'woman', 'good', 'lady', 'better', 'lure']",1
1520,"['ore', 'milk']","['ore', 'milk', '😋']",2
1521,"['maybe', 'cut', 'putting', 'trust', 'bitch', 'lady', 'maybe', 'fucking', 'song']","['maybe', 'cut', 'putting', 'trust', 'bitch', 'lady', 'maybe', 'fucking', 'song']",1
1522,"['shut', 'fuck', 'fucking', 'trash', 'nigga', 'work', 'another', 'ring']","['shut', 'fuck', 'fucking', 'trash', 'nigga', 'work', 'another', 'ring']",0
1523,"['yellow', 'rock', 'hard']","['😍', '😍', '😍', 'yellow', 'rock', 'hard']",1
1524,"['everybody', 'love', 'de', 'loaf', 'cause', 'wife', 'fuck', 'may', 'day', 'bitch']","['everybody', 'love', 'de', 'loaf', 'cause', 'wife', 'fuck', 'may', 'day', 'bitch']",1
1525,"['live', 'constant', 'fear', 'shit', 'bird', 'well', 'actually', 'fucking', 'happened', 'soon']","['live', 'constant', 'fear', 'shit', 'bird', 'well', 'actually', 'fucking', 'happened', 'soon', '😑']",1
1526,"['surrounded', 'bad', 'bitch', 'keep', 'face', 'laugh']","['surrounded', 'bad', 'bitch', 'keep', 'face', '👀', '👀', '😂']",1
1527,"['dr', 'hero', 'made', 'adroit', 'destroy', 'da', 'world', 'da', 'sum', 'bitch', 'nigga', 'shit', 'would', 'program', 'girl', 'adroit', 'time', 'sum', 'neck', '7']","['dr', 'hero', 'made', 'adroit', 'destroy', 'da', 'world', 'da', 'sum', 'bitch', 'nigga', 'shit', 'would', 'program', 'girl', 'adroit', 'time', 'sum', 'neck', '7']",1
1528,"['dumb', 'bitch', 'award', 'go', 'sad', 'uncle', 'sam']","['dumb', 'bitch', 'award', 'go', '😭', 'uncle', 'sam', '!', '!', '!']",1
1529,"['let', 'girl', 'handcuff', 'bed', 'thinking', 'something', 'freak', 'bitch', 'went', 'phone']","['let', 'girl', 'handcuff', 'bed', 'thinking', 'something', 'freak', 'bitch', 'went', 'phone']",1
